Smile,pIC50
O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3C(=O)O)ccnc2N1,5.3
CC(=O)N1C2CCC1CC(c1ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn13)C2,8.04
CN1CCN(c2cc(NC(=O)c3ccc(F)c(Nc4ncnc5cnc(NC6CCOC6)nc45)c3)cc(C(F)(F)F)c2)CC1,9
COc1cc(-c2ccc3ncnc(Nc4ccc5c(c4)OCO5)c3c2)ccc1O,6.165
CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(C(C)C)nc4-c4cccc(NS(=O)(=O)c5ccccc5F)c4)n3)cn2)CC1,9.22
CCN1CCN(c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5c(N)nc(N(C)C)nc45)c3)cc(C(F)(F)F)c2)CC1,7.72
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1Nc1ncnc2cnc(N3C[C@@H](C)N[C@@H](C)C3)nc12,8.7
CC(C)(C)c1cc(C(=O)Nc2cccc(Oc3cccc4[nH]c(=O)[nH]c34)c2)n(Cc2ccccc2)n1,4
COc1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c2c1,6.4
CC(F)(F)c1cc(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)cc2F)ccc1F,8.15
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1nc(N2CCOCC2)cc(N2CCOCC2)n1,8.66
COc1ccnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)c4cccc(F)c4)c3F)c12,8
COCCCOc1cc(C2(C(=O)Nc3cc(C(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc3C)CC2)ncn1,6.36
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ncnc2cnc(N(C)C3CCOCC3)nc12,8.3
Cc1ccc(C(=O)Nc2cccc(S(=O)(=O)N(C)C)c2)cc1Nc1ncnc2cnc(N3CCNCC3)nc12,8.15
