Smile,pIC50
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)n[nH]2)cc1Nc1ncnc2ccc(N3CCOCC3)nc12,8.15
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)CO)on4)c3)c2cc1OC,6.19
CNC(=O)c1cc(Oc2ccc3c(c2)nc(NCC2CCCCC2)n3C)ccn1,6.85
COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3S(=O)(=O)c3ccccc3)ccc2[nH]1,6
O=S(=O)(Nc1ccc(F)c(Nc2ncccc2-c2ncnc3[nH]cnc23)c1F)c1cccc(Cl)c1,7.1
Cc1ccc(C(=O)Nc2ccc(N(C)CCN(C)C)c(C(F)(F)F)c2)cc1Nc1ncnc2cnc(NCCF)nc12,9
O=C1CCc2cc(Nc3c(-c4ncccn4)oc4cnccc34)ccc21,7.8
COC(=O)N[C@@H](C)CNc1nccc(-c2nc(-c3ccc(C(F)(F)F)cc3)[nH]c2-c2cc(F)cc(NS(C)(=O)=O)c2Cl)n1,8.7
Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1Nc1ncnc2cnc(N3CCNCC3)nc12,9
COCCCNC(=O)c1cnn2c(-c3cccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)c3)ccnc12,6.57
Nc1ccc(-c2cn(-c3c(F)ccc(NS(=O)(=O)c4cccc(Cl)c4)c3F)nn2)cn1,6
Cc1ccc(C(=O)Nc2cc(OCCN(C)C)cc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCC3)nc12,8.7
Cn1c(=O)[nH]c2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4)cc3)c21,6.73
Cc1ccc(C(=O)Nc2cc(N(C)CCN(C)C)cc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(NCc3ccccn3)nc12,8.7
Cc1ccc(C(=O)Nc2ccc(C(F)(F)F)cc2)cc1Nc1ncnc2c(N)nc(NCCN(C)C)nc12,7.17
CN(C)C(=O)Oc1ccc2c(=O)n(Cc3ccc(F)cc3)c(=O)oc2c1,5
Cc1cc(Oc2ccnc3c2CCC(=O)N3)cc2c1OC1C(c3nc4ccc(C(F)(F)F)cc4[nH]3)C21,7.21
Cc1ccc(NC(=O)c2cc(CNC3CCN(C)CC3)c(C(C)(C)C)o2)cc1-n1cc(-c2cncc(N3CCOCC3)c2)nn1,7.85
O=C1NC(=O)c2cc3c(-c4cccc(O)c4)c[nH]c3cc21,5.46
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cc(N2CCO[C@H](C)C2)nc(N2CCOCC2)n1,8.6
Cn1c(Nc2ccc(Br)cc2)nc2cc(Oc3ccnc(C(=O)NCCO)c3)ccc21,7.96
CN1CCN(Cc2ccc(C(=O)Nc3ccc(OCCN4CCOCC4)c4ccccc34)cc2)CC1,4
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1ncnc2c(N)nc(NN3CCN(C)CC3)nc12,7.3
COc1ncc(NC(=O)c2ccnc(C(C)(C)C#N)c2)cc1-c1ccnc(N2CCOCC2)c1,7.43
Cc1ccc(S(=O)(=O)NCCCNc2nccc(-n3ccc4cccnc43)n2)cc1,6
CC(=O)Nc1ccc(NC(=O)c2cc(NC(=O)c3cccc(C(C)(C)C#N)c3)ccc2C)cn1,7.8
COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cccc(C(N)=O)c3)ccc2[nH]1,7
CNC(=O)c1cc(Oc2ccc(NC(=O)c3ccc(OC)cc3)cc2)ccc1N,6.73
Cc1cc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cnc1Oc1ccnc(NC(=O)C2CC2)c1,7.8
CCN1CCN(c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(N(C)CCOC)nc45)c3)cc(C(F)(F)F)c2)CC1,8.7
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1cc(N2CCOCC2)c(=O)n(C)n1,8.5
COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3ccccc3C)ccc2[nH]1,7
CCOC(=O)N1C2CCC1CC(c1ccnc3c(-c4ccc(Cl)c(O)c4)c(-c4ccncc4)nn13)C2,8.7
CN(C)CCOc1ccc(-c2nc(-c3ccc4ccc(=O)[nH]c4c3)c(-c3ccncc3)[nH]2)cc1,4
Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1-n1cc(-c2cncc(N3CCC(N(C)C)CC3)c2)nn1,8.1
c1cc(-c2c(-c3ccncc3)nn3c(-c4ccc(CN5C[C@@H]6C[C@H]5CO6)cc4)ccnc23)c2cn[nH]c2c1,8
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ncnc2ccc(N3CCOCC3)nc12,8.4
Cc1ccc(C(=O)Nc2ccc(C#N)c(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N(C)CCN(C)C)nc12,8.3
FC(F)(F)c1ccc2nc(C3C4Oc5ccc(Oc6ccnc7[nH]ccc67)cc5C43)[nH]c2c1,6.28
Cc1ccc(C(=O)Nc2cc(OCCN3CCCC3)cc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCOCC3)nc12,9
COc1c(NC(=O)c2ccc(C)c(Nc3ncnc4ccc(NC5CCOC5)nc34)c2)cc(C(C)(C)C)cc1NS(C)(=O)=O,7.52
CCOC(=O)c1cnn2c(-c3cccc(NC(=O)c4cccc(Cl)c4)c3)ccnc12,5
Cc1ccc(NC(=O)c2cc(CNC(C)(C)C)c(C(C)(C)C)o2)cc1-n1cc(-c2cncc(N3CCOCC3)c2)nn1,7.96
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4ccc(N5CCOCC5)nc34)c2)cc1C(F)(F)F,7.96
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,5
O=C1COc2ccc(C3(O)c4ccccc4C(=O)N3Cc3ccc(F)cc3)cc2N1,5
C=CCn1c(N/N=C\c2cccc([N+](=O)[O-])c2)nc2c1c(=O)[nH]c(=O)n2C,4.43
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1NC(=O)c1cncnc1,6.2
Cn1c(=O)[nH]c(=O)c2c1nc(N/N=C\c1ccc([N+](=O)[O-])cc1)n2Cc1ccccc1,4.24
O=c1[nH][nH]c(=O)c2cc(Nc3cccc(O)c3)c(Nc3ccccc3)cc12,5.42
CN(C)CC(=O)Nc1ccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)cc1,7.47
CCN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4ccc(F)c(O)c4)c(-c4ccncc4)nn23)cc1,9.29
COc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1ncnc2c(N)nc(N3CCN(C)CC3)nc12,7.46
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4c(N)nc(N5CCCN(C)CC5)nc34)c2)cc1C(F)(F)F,9
COc1ccc(Nc2ccccc2-c2nc(C)nc(N)n2)cn1,6
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1Nc1ncnc2cnc(N(C)CC3CCOC3)nc12,8.52
Cc1ccc(C(=O)Nc2cc(N(C)CCN(C)C)cc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CC[C@H](F)C3)nc12,8.22
Cc1ccc(NC(=O)c2cc(C(C)(C)C)nn2C)cc1-n1cc(-c2cncc(N3CCOCC3)c2)nn1,7.96
Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1-n1cc(-c2cncc(NC3CC3)c2)nn1,7.36
CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4ccc(F)c5[nH]ncc45)c(-c4ccncc4)nn23)c(F)c1,10
CCOC(=O)c1sc(NC(=O)c2ccc(F)cc2)c(C(=O)Nc2ccccc2)c1C,6.2
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1ncnc2c(N)nc(N3CCNCC3)nc12,9
CC1CN(c2cc(NC(=O)Nc3ccc(Oc4ccnc(NC(=O)C5CC5)c4)c(F)c3)cc(C(F)(F)F)c2)CC(C)O1,7.13
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4C(C)C)c3)c2cc1OC,6.3
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1Nc1ncnc2cnc(N(C)CC3CCCCO3)nc12,8.4
O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1)Nc1cc(F)cc(N2CCOCC2)c1,6.22
Nc1nccc(C2=C(c3cccc(NS(=O)(=O)c4c(F)cccc4F)c3F)C(=O)C3(CCCC3)O2)n1,7.54
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)n[nH]2)cc1Nc1ncnc2cnc(NCc3ccccc3)nc12,8.7
Cc1cncc(NC(=O)c2cc(NC(=O)c3cccc(C(C)(C)C#N)c3)ccc2C)c1,7.8
Nc1nccc(C2=C(c3cc(Cl)cc(NS(=O)(=O)c4c(F)cccc4F)c3Cl)C(=O)C3(CCCC3)O2)n1,8.62
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3[nH]cc(I)c3c2)c1F,8.66
COC(=O)Nc1nc2ccc(C(=O)c3ccccc3C(=O)NCc3ccsc3)cc2[nH]1,7
CN1CCCCC1COC(=O)Nc1nc2ccc(C3(O)c4ccccc4C(=O)N3c3cccc(Cl)c3F)cc2[nH]1,7
Cc1ccc(NC(=O)c2cccc(S(N)(=O)=O)c2)cc1C(=O)Nc1cccnc1,7.52
Cc1ncc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cc(N2CCOCC2)c(=O)n(CCO)c1,7.86
COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(/N=N/c4ccccc4C)c3F)cc12,5.77
Cc1ccc(NC(=O)c2ccc(C(C)(C)C)o2)cc1-n1cc(-c2cncc(N3CCN(CC4CC4)CC3)c2)nn1,8.7
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(-c4ccccc4Cl)c23)c1,8
COc1cc(-c2ccc3ncnc(Nc4cc(O)ccc4F)c3c2)ccc1O,7.71
Cc1ccc(C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCCN(C)CC3)nc12,8.3
O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1)Nc1ccccc1C(F)(F)F,4
CCOC(=O)c1sc(NC(=O)c2ccccc2C)c(C#N)c1C,5.7
CNc1cc(Oc2ccc(NC(=O)Nc3cccc(CF)c3)cc2)ncn1,5.7
COC(=O)Nc1nc2ccc(C(=O)c3ccccc3C(=O)Nc3cccc(C)c3)cc2[nH]1,7
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(S(=O)(=O)NC5CC5)cc4)cc23)c1F,8
CN(C)CCOc1ccc(-c2nc(-c3ccc4c(C(O)C(F)(F)C(F)(F)F)csc4c3)c(-c3ccncc3)[nH]2)cc1,5
CCOc1n[nH]c2ncc(C#Cc3c(F)ccc(NS(=O)(=O)c4cccnc4)c3F)cc12,6.91
COc1ncnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)c4ccc(C(F)(F)F)cc4)c3F)c12,5
N#Cc1cnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)c4ccccc4)c3F)c2c1,8
COc1ncc(-c2cc(NC(=O)c3cccc(C(F)(F)F)c3)cnc2C)cc1N1CCOCC1,8.78
Nc1cccc(-c2nc3sccn3c2-c2ccnc(NCCCCNS(=O)(=O)c3ccc(F)cc3)n2)c1,8.21
O=C(Nc1ccc(Oc2cc(NC(=O)C3CC3)ncn2)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,7.61
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc2ccccc2C(F)(F)F)n3C)ccn1,5.72
COc1ccc2cc(-c3n[nH]c4cccnc34)[nH]c2c1,4.52
Cc1ccc(C(=O)Nc2ccc(N(C)CCN(C)C)c(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCCCC3)nc12,8.52
O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc4ccc(-c5ccccc5)cc4[nH]3)ccnc2N1,6.63
Cc1ccc(NC(=O)c2ccc(C(C)(C)C)s2)cc1-n1cc(-c2cncc(N3CCNCC3)c2)nn1,8.4
CC(C)c1cc(-c2cccc(NC(=O)Nc3ccc(Cl)c(Cl)c3)c2)[nH]n1,5.49
CN1CCN(c2ncc3ncnc(Nc4cc(C(=O)Nc5cc(C(C)(C)C)on5)ccc4C(F)(F)F)c3n2)CC1,6.64
Cc1ccc(C(=O)Nc2cc(N3CCN(C(C)C)CC3)cc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCOCC3)nc12,8.7
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(Br)c23)c1,8.3
CCN1CCN(c2ncc3ncnc(Nc4cc(NC(=O)c5cccc(C(C)(C)C#N)c5)ccc4C)c3n2)CC1,9
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ncnc2ccc(N3CCN(C)CC3)nc12,8.1
Cn1c(Nc2cccc(C(C)(C)C)c2)nc2cc(Oc3ccnc(-c4ncc(-c5ccccc5)[nH]4)c3)ccc21,6.32
Cn1nnnc1Sc1cc(NS(=O)(=O)c2cccs2)c2ccccc2c1O,6.545
CCN1CCC2(CCN(c3cncc(-c4cn(-c5cc(C(=O)Nc6cc(C(C)(C)C)on6)ccc5C)nn4)c3)C2)C1,8.05
Fc1cc(CN2C[C@H]3C[C@@H]2CO3)ccc1-c1ccnc2c(-c3cccc4[nH]ncc34)c(-c3ccncc3)nn12,9.28
Nc1ccc(-c2ccc3ncc4c(=O)[nH]c(=O)n(-c5cccc(C(F)(F)F)c5)c4c3n2)cn1,5
O=C(Nc1cccc(Nc2ccnc(NC(=O)C3CC3)c2)c1)c1cccc(C(F)(F)F)c1,6.85
CCCCN1C(=O)c2ccccc2C1(O)c1ccc2c(c1)NC(=O)CO2,6
O=C(c1c(F)ccc(NS(=O)(=O)N2CCCC2)c1F)c1c[nH]c2ncncc12,5
CCN(c1ccccc1)c1cccc(N2C(=O)c3ccccc3C2(O)c2ccc3[nH]c(NC(=O)OC)nc3c2)c1,7
COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(/N=N\c4ccc(F)cc4)c3F)cc12,5.09
COc1n[nH]c2ncc(-c3ncc(-c4c(F)ccc(NS(=O)(=O)c5cccc(Cl)c5)c4F)[nH]3)cc12,6
CNC(=O)c1cc(Oc2ccc3nc(Nc4ccc(F)cc4)ncc3c2)ccn1,6.22
CNS(=O)(=O)c1ccc(N(C)C)c(Nc2ncnc3[nH]c(Br)cc23)c1,8.2
COc1cc(-c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2C)nc(N2CCOCC2)c1,8.66
Cc1ccc(C(=O)Nc2cc(N3CCCN(C)CC3)cc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCOCC3)nc12,8.7
Cn1cc(-c2ccc3c(c2)CNC3=O)c(-c2ccncc2)n1,7.03
CN1CCN(c2ncc3ncnc(Nc4cc(C(=O)Nc5cc(C(C)(C)C)on5)ccc4F)c3n2)CC1,8.7
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4ccccc4)c3)c2cc1OC,4.82
COc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCCCN1CCOCC1,7.02
Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1-n1cc(-c2cncc(N3CC[C@@H](N(C)C)C3)c2)nn1,7.82
CN(CCN1CCCC1)c1ncc2ncnc(Nc3cc(C(=O)Nc4cc(C(C)(C)C)on4)ccc3F)c2n1,7.85
CN1CCN(CCCC(=O)Nc2nc3cc(C4(O)c5ccccc5C(=O)N4Cc4ccccc4)ccc3[nH]2)CC1,7
COCCN1CCN(c2ccc3ncnc(Nc4cc(C(=O)Nc5cc(C(C)(C)C)cc(NS(C)(=O)=O)c5OC)ccc4C)c3n2)CC1,6.32
CNC(=O)c1cc(Oc2ccc(NC(=O)c3cccc(O)c3)cc2)ccc1N,5.39
COc1ccc(NC(=O)c2ccc(Cl)c(Nc3ncnc4cnc(N5CCCCC5)nc34)c2)cc1C(F)(F)F,8.22
Cc1cc(NC(=O)Nc2ccc(Cl)c(C(C)(F)F)c2)ccc1Oc1ccnc(NC(=O)C2CC2)c1,7.67
O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1)c1cccc(OC(F)(F)F)c1,4
CN(C)CCOc1cccc(N2C(=O)c3ccccc3C2(O)c2ccc3c(c2)NC(=O)CO3)c1,5
CCCS(=O)(=O)Nc1ccc(F)c(-c2cc3cnc4[nH]nc(C5CC5)c4c3cc2OC)c1F,6.66
CC1(C)C(=O)N([C@H]2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,5.69
CN1CCC(c2cc(NC(=O)Nc3ccc(Oc4ccnc(NC(=O)C5CC5)c4)cc3)cc(C(F)(F)F)c2)CC1,8.26
O=C(Nc1cccc(-c2ccnc3cc(-c4ccncc4)nn23)c1)Nc1ccc(Cl)c(C(F)(F)F)c1,7.4
O=C(Nc1cccc(Nc2cc3c(=O)[nH][nH]c(=O)c3cc2Cl)c1)c1cccc(Br)c1,7.72
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(-n5cnc(C)c5)nc34)c2)cc1C(F)(F)F,8.1
CCOC(=O)Nc1nc2ccc(C3(O)c4ccccc4C(=O)N3c3cccc(Cl)c3F)cc2[nH]1,7
Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1-n1cc(-c2cncc(N(C)C)c2)nn1,7.62
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4cnn(CCN5CCOCC5)c4)cc23)c1F,8
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccnc(F)c4)cc23)c1F,8
COC(=O)Nc1nc2ccc(C(=O)c3ccccc3C(=O)Nc3cccc(Cl)c3F)cc2[nH]1,7
Cc1cccc(C)c1NC(=O)CSc1nnc(CN2CCOCC2)n1C,4
COC(=O)Nc1nc2ccc(C3(O)c4ccccc4C(=O)N3Cc3ccccc3)cc2n1C,5
Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1Nc1ncnc2cnc(NC3CCOC3)nc12,9
COc1cc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)cc(OC)c1,5.545
O=C(Nc1cnc2[nH]ccc2c1)c1c(F)ccc(NS(=O)(=O)N2CCCC2)c1F,6.92
O=C(Nc1cccc(-n2cc(-c3ccncc3)c(-c3cc(O)cc(Cl)c3)n2)c1)c1ccc(N2CCOCC2)c(C(F)(F)F)c1,7.85
O=C(Nc1cccc(C(F)(F)F)c1)Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)cc1F,8.19
Cc1ccc(NC(=O)c2ccc(C(C)(C)C)o2)cc1-n1cc(-c2cncc(N3CCN(CC(C)C)CC3)c2)nn1,8.3
COCCNC(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,7.365
O=C(Nc1cccc(-c2ccnc3c(C(=O)O)cnn23)c1)c1cccc(C(F)(F)F)c1,5
CNC(=O)c1cc(Oc2ccc3nc(Nc4cccc(C(C)C)c4)ncc3c2)ccn1,6.82
CC(C)NC(=O)c1oc2cnccc2c1Nc1ccc2c(c1)Cc1c[nH]nc1-2,7.42
Cc1ccc(C(=O)Nc2ccc(N(C)CCN(C)C)c(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCCC3)nc12,8.7
Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12,8.7
Cc1ccc(NC(=O)c2ccc(C)c(C(F)(F)F)c2)cc1C#Cc1nn([C@H]2CC[C@H](O)CC2)c2ncnc(N)c12,7.01
Cc1ccccc1S(=O)(=O)Nc1ccc(F)c(Nc2ncccc2-c2ncnc3[nH]cnc23)c1F,7.3
Cc1cc(N2C[C@@H]3C[C@H]2CN3C)ccc1-c1ccnc2c(-c3ccc(F)c(O)c3)c(-c3ccncc3)nn12,9.49
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)F)no4)c3)c2cc1OC,6.81
Cc1ccc(NC(=O)c2cc(C(C)(C)C)nn2C)cc1Nc1ncnc2cnc(N(C)CCCN(C)C)nc12,7.14
O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)c1ccc(Cl)c(C(=O)Nc2ccc(-c3ncc[nH]3)nc2)c1,6.27
CNc1ncnc2c(Nc3cc(C(=O)Nc4cc(C(C)(C)C)on4)ccc3C)ncnc12,9
CCCS(=O)(=O)Nc1cccc(-c2nn(C(C)C)cc2-c2ccnc(NC[C@H](C)NC(=O)OC)n2)c1F,8.7
Cc1ncc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cc(N2CCOCC2)n(C)c(=O)c1,8.11
N#CNc1cccc(-c2nc(NC3CC3)nc3sc(C(N)=O)c(N)c23)c1,5.8
COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(/N=N\c4ccccc4)c3F)cc12,6.8
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1C(=O)Nc1ccc(N)nc1,7.85
Cc1ccc(C(=O)Nc2cccc(C(C)(C)C#N)c2)cc1Nc1ncnc2cnc(NCC(C)C)nc12,8.7
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1ncnc2c(N)nc(N3CCCN(C4CC4)CC3)nc12,9
COc1ccc(NC(=O)c2ccc(C(F)(F)F)c(Nc3ncnc4cnc(N5CCN(C)CC5)nc34)c2)cc1C(F)(F)F,7.02
CN1C[C@@H]2C[C@H]1CN2c1cccc(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)c1,7.21
CCS(=O)(=O)Nc1cccc(Cn2c(=O)oc3cc(OC(=O)N(C)C)ccc3c2=O)c1F,6.7
CN1CCN(Cc2cc(NC(=O)Nc3ccc(Oc4ccnc(NC(=O)C5CC5)c4)c(F)c3)cc(C(F)(F)F)c2)CC1,7.62
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(C)nc4F)cc23)c1F,7
O=C(Nc1cccc(-c2ccnc3c(C(=O)NCCN4CCOCC4)cnn23)c1)c1cccc(C(F)(F)F)c1,5.2
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)C)no4)c3)c2cc1OC,6.47
O=C1COc2ccc(C3(O)c4ccccc4C(=O)N3c3cccc(I)c3)cc2N1,7
COc1ccccc1C1=NN(C(=S)Nc2ccccc2)C(c2ccc3c(c2)OCCO3)C1,3.7
CCc1cccc(N2C(=O)c3ccccc3C2(O)c2ccc3[nH]c(NC(=O)OC)nc3c2)c1F,7
CC1(C)OC(c2ccnc(NCCC#N)n2)=C(c2cc(Cl)cc(NS(=O)(=O)c3cc(F)ccc3F)c2F)C1=O,7.89
Cn1cnc(S(=O)(=O)Nc2ccc(F)c(Nc3ncccc3-c3ncnc4[nH]cnc34)c2F)c1,5.74
Cc1ccc(NC(=O)c2cccc(C(F)F)c2)cc1-c1ccnc(N2CCOCC2)c1,9.41
CCN(CC)CCCNc1nc(-c2ccc(NC(=O)Nc3ccc(Cl)cc3)cc2)nc2ccsc12,5
CNC(=O)c1cnn2c(-c3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)ccnc12,5
Nc1c(-c2ccc(F)cc2)c(-c2ccncc2)nn1-c1ccc(Cl)cc1,6.1
O=C1CCc2c(Oc3ccc4c(c3)C3C(C4)C3c3nc4ccc(C(F)(F)F)cc4[nH]3)ccnc2N1,7.14
COc1ccc(CN2CCCN(Cc3ccc(OC)cc3)C2c2cccc(C)n2)cc1,4
CNS(=O)(=O)c1ccc(OCC(F)(F)F)c(Nc2cc(Nc3ccc(Cl)cn3)ncn2)c1,7.89
CC(C)(C)c1cc(NC(=O)c2ccc(Cl)c(Nc3ncnc4cnc(NCCCN5CCOCC5)nc34)c2)no1,9
COC(=O)N[C@@H](C)CNc1nccc(-c2nc(C(C)(C)C)[nH]c2-c2cccc(NS(=O)(=O)C3CC3)c2F)n1,9.57
COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2ccnc(NS(C)(=O)=O)c2Cl)n1,7.1
CNS(=O)(=O)c1ccc(N(C)C)c(Nc2ncnc3cc[nH]c23)c1,6.6
CNc1nccc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)n1,7.59
Cc1ncc2ccc(Oc3c(C)ccc(C(=O)c4c(-c5ccccc5)n(C)n(-c5ccccc5)c4=O)c3N)cc2n1,6
CN(C)CCNc1ncc2ncnc(Nc3cc(C(=O)Nc4cc(C(C)(C)C)on4)ccc3C(F)(F)F)c2n1,5.38
CC1(C)OC(c2ccnc(N)n2)=C(c2cc(Cl)cc(NS(=O)(=O)c3ccccc3F)c2F)C1=O,8.6
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1Nc1ncnc2cnc(NCC3CCCCO3)nc12,8.7
COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3CC3CCCO3)ccc2[nH]1,7
COCCNc1cc(C2(C(=O)Nc3cc(C(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc3C)CC2)ncn1,7.37
COCCN1CCN(c2ncc3ncnc(Nc4cc(C(=O)Nc5cc(C(C)(C)C)n[nH]5)ccc4C)c3n2)CC1,8.15
O=C(c1c(F)ccc(NS(=O)(=O)C2CCCCC2)c1F)c1c[nH]c2ncncc12,5
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cc(N2CCOCC2)nc(-n2ccnc2)n1,9.34
COc1cc(-c2nn(C(C)C)cc2-c2ccnc(NC[C@H](C)O)n2)cnc1N,8.19
Nc1ncc(-c2cn(-c3c(F)ccc(NS(=O)(=O)c4cccc(Cl)c4)c3F)nn2)cn1,6
O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1)c1cccc(Br)c1,4.85
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1Nc1ncnc2cnc(N3CCC[C@H]3CO)nc12,9
Cc1ccc(N2C(=O)/C(=C\c3ccc(-c4cccc(C(=O)O)c4)o3)C(=O)NC2=S)cc1,5.4
Cc1ccc(Nc2nccc3c(C#Cc4nn(C(C)C)c5ncnc(N)c45)cccc23)cc1C(F)(F)F,6.52
O=C1COc2ccc(C3(O)c4ccccc4C(=O)N3c3cccc(-c4ccccc4)c3)cc2N1,5
Cc1sc(C(=O)N[C@@H]2[C@H](N)CCCC2(F)F)cc1-c1cnn2cc(Cl)cnc12,5.96
CC(C)(C)c1cc(NC(=O)c2ccc(C(F)(F)F)c(Nc3ncnc4cnc(N5CCCCC5)nc34)c2)no1,5.65
COc1ccc(NC(=O)c2ccc(C(F)(F)F)c(Nc3ncnc4cnc(N5CCCN(C)CC5)nc34)c2)cc1C(F)(F)F,6.55
COCCN(C)c1ncc2ncnc(Nc3cc(C(=O)Nc4ccc(OC)c(C(F)(F)F)c4)ccc3C)c2n1,9
Cc1ccc(C(=O)NC2CC2)cc1Nc1ncnc2cnc(N(C)CCN(C)C)nc12,5
